School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
School C,Female,13,Rural,4,Together,Higher,Higher,Healthcare,Education,Other,Other,5,0,1,No,Yes,No,No,No,Yes,Yes,No,Good,2,2,None,Low,Good,3,8,16,13,No
School C,Male,,Rural,5,Together,Secondary,Primary,Education,Service,Course,Other,0,9,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Very Bad,4,1,Medium,None,Excellent,0,,14,15,No
School A,Other,17,Urban,8,Apart,None,Primary,Healthcare,Service,Course,Mother,7,4,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Good,,1,High,Medium,Very Bad,3,15,15,17,No
School D,Female,16,Rural,6,Together,Primary,None,Unemployed,Technology,Home,Mother,23,,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Excellent,4,1,High,High,Neutral,7,10,,8,Yes
School B,Other,15,Urban,3,Together,None,Primary,Healthcare,Healthcare,Other,Other,15,14,0,No,Yes,Yes,No,No,Yes,No,No,Good,1,2,High,Medium,Good,5,18,12,12,No
School A,Female,19,Urban,6,Together,Secondary,Higher,Technology,Unemployed,Home,Father,55,2,0,No,No,Yes,No,Yes,No,Yes,No,Good,2,1,Very High,None,Good,5,8,8,15,No
School A,Male,18,Rural,1,Together,None,Higher,Unemployed,Education,Home,Mother,7,2,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Good,5,3,Low,Low,Good,1,18,15,18,No
School A,Male,,Urban,5,Apart,Primary,Secondary,Business,Technology,Home,Mother,15,0,0,No,No,Yes,No,No,Yes,Yes,Yes,Very Bad,5,2,Low,Low,Very Bad,0,7,18,12,No
School A,Other,18,Urban,1,Together,None,Higher,Education,Business,Course,Other,64,4,0,Yes,Yes,No,No,Yes,No,No,Yes,Excellent,1,1,High,High,Good,0,17,14,,No
School D,Female,16,Rural,4,Apart,None,Secondary,Healthcare,Technology,Course,Other,14,1,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Neutral,2,,Medium,None,Excellent,3,12,14,16,No
School B,Female,,Urban,4,Apart,Primary,Secondary,Unemployed,Technology,Other,Other,10,4,0,Yes,Yes,No,No,No,No,No,No,Excellent,2,1,High,None,Excellent,1,12,17,15,No
School B,Other,14,Rural,7,Apart,Primary,Primary,Unemployed,Education,Course,Mother,10,2,1,No,Yes,Yes,No,Yes,Yes,No,Yes,Very Bad,5,3,Low,Medium,Bad,0,12,15,9,No
School A,Male,16,Urban,8,Apart,Primary,None,Education,Healthcare,Other,Mother,69,5,2,No,No,No,No,No,Yes,Yes,No,Excellent,4,4,Medium,Low,Good,7,15,11,18,No
School D,Male,15,Rural,2,Apart,Primary,Higher,Business,Business,Course,Father,13,8,0,No,Yes,Yes,No,No,Yes,Yes,No,Excellent,4,2,None,None,Good,2,18,15,10,No
School B,Female,17,Rural,8,Together,Primary,None,Technology,Unemployed,Other,Father,4,3,0,Yes,Yes,No,No,Yes,Yes,No,No,Neutral,5,5,High,None,Good,1,5,15,13,No
School A,Other,14,Suburban,7,Together,None,Higher,Education,Unemployed,Other,Father,10,1,0,No,No,Yes,Yes,Yes,No,Yes,No,Neutral,1,4,Medium,Medium,Very Bad,0,14,9,16,No
School C,Female,18,Urban,6,Apart,None,Primary,Business,Technology,Home,Father,22,4,0,No,Yes,No,Yes,Yes,No,No,No,Bad,4,4,Medium,Very High,Good,1,14,17,11,No
School D,Other,14,Rural,1,Apart,None,Secondary,Healthcare,Unemployed,Other,Other,15,6,0,No,Yes,No,No,No,Yes,Yes,No,Good,2,2,Low,Very High,Excellent,0,8,16,10,No
School A,Female,15,Suburban,3,Apart,Primary,None,Healthcare,Education,Course,Mother,33,2,0,Yes,Yes,Yes,No,No,Yes,No,No,Excellent,4,3,Medium,Very High,Good,2,12,13,16,No
School C,Other,14,Suburban,4,Together,Secondary,None,Technology,Unemployed,Home,Mother,27,6,0,No,No,Yes,Yes,Yes,No,Yes,No,Good,,1,Very High,None,Neutral,3,13,17,16,No
School A,Female,14,Suburban,5,Apart,None,Secondary,Service,Business,Home,Mother,,1,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,4,None,Very High,Very Bad,9,16,,11,No
School D,Male,14,Urban,4,Apart,None,Secondary,Unemployed,Service,Reputation,Other,3,1,0,No,No,Yes,Yes,Yes,No,No,Yes,Excellent,3,5,None,None,Very Bad,2,11,13,14,No
School C,Other,12,Rural,5,Apart,Higher,None,Unemployed,Healthcare,Reputation,Other,114,2,0,No,No,No,No,No,No,Yes,Yes,Bad,5,4,Medium,Low,Bad,1,17,15,18,No
School D,Female,,Rural,1,Apart,Secondary,Higher,Business,Education,Home,Mother,3,4,0,No,No,No,No,No,No,Yes,No,Bad,2,5,Low,None,Bad,3,14,13,15,No
School C,Other,16,Urban,6,Together,Higher,Primary,Education,Unemployed,Other,Father,40,5,0,No,Yes,No,Yes,No,No,Yes,No,Excellent,5,1,Very High,None,Neutral,0,14,,8,No
School B,Female,14,Rural,6,Apart,Secondary,Secondary,Business,Unemployed,Other,Other,13,7,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Good,3,1,None,Medium,Neutral,1,,11,10,No
School D,Female,15,Urban,2,Together,None,Primary,Unemployed,Service,Course,Mother,7,4,1,No,No,Yes,Yes,No,Yes,No,Yes,Good,3,1,Very High,Low,Bad,0,12,16,15,No
School A,Other,18,Suburban,2,Together,None,Higher,Healthcare,Technology,Other,Father,6,4,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Bad,1,,Medium,Low,Excellent,10,13,16,15,No
School B,Male,15,Suburban,6,Apart,Higher,Secondary,Technology,Unemployed,Home,Mother,40,4,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Excellent,4,1,High,None,Good,1,13,15,15,No
School D,Male,,Rural,1,Together,Primary,Secondary,Healthcare,Education,Home,Mother,17,0,0,No,No,Yes,No,Yes,Yes,No,No,Good,5,4,Medium,Medium,Very Bad,0,14,14,19,No
School A,Other,18,Suburban,4,Apart,Secondary,None,Technology,Business,Reputation,Other,9,7,1,Yes,Yes,Yes,No,No,Yes,Yes,No,Excellent,2,2,None,Very High,Neutral,5,9,15,18,No
School C,Other,18,Suburban,2,Apart,Higher,None,Business,Business,Course,Father,48,4,0,No,No,No,Yes,No,No,Yes,Yes,Excellent,3,4,Medium,None,Very Bad,11,10,18,19,No
School D,Female,17,Suburban,7,Apart,Primary,None,Business,Technology,Other,Other,18,7,0,No,Yes,No,Yes,Yes,Yes,No,No,Bad,2,3,High,Very High,Excellent,9,9,13,14,No
School B,Male,15,Suburban,5,Together,None,None,Business,Healthcare,Reputation,Other,6,2,0,No,Yes,Yes,No,No,No,No,No,Very Bad,3,4,Medium,Very High,Good,0,13,10,17,No
School B,Female,19,Suburban,7,Together,Secondary,None,Service,Business,Course,Father,13,8,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Excellent,,3,None,High,Excellent,3,12,9,16,No
School D,Other,16,Suburban,6,Apart,Primary,Secondary,Healthcare,Business,Other,Mother,66,2,0,Yes,No,No,No,No,Yes,Yes,No,Very Bad,4,2,Very High,Very High,Bad,2,10,13,12,No
School A,Other,16,Urban,8,Apart,None,None,Service,Unemployed,Home,Mother,10,5,0,Yes,Yes,No,No,Yes,Yes,No,No,Neutral,4,3,Medium,Very High,Excellent,0,12,19,15,No
School C,Other,16,Suburban,2,Apart,Primary,Higher,Unemployed,Unemployed,Home,Mother,13,0,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Very Bad,3,3,None,Medium,Excellent,0,11,15,,No
School A,Male,14,Suburban,2,Together,Secondary,Primary,Education,Service,Home,Father,16,2,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Excellent,3,3,Medium,None,Bad,0,14,13,12,No
School D,Female,19,Rural,6,Together,Higher,Secondary,Business,Technology,Other,Father,6,1,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Excellent,1,2,High,Very High,Good,2,16,16,15,No
School D,Female,17,Urban,5,Apart,Higher,None,Business,Education,Home,Mother,,2,1,No,No,No,Yes,Yes,Yes,Yes,No,Very Bad,3,1,High,Low,Neutral,2,10,11,14,No
School B,Other,17,Rural,4,Together,None,Higher,Unemployed,Unemployed,Other,Father,8,3,0,Yes,Yes,No,Yes,Yes,No,No,Yes,Bad,4,4,Medium,Medium,Bad,5,13,16,12,No
School D,Female,19,Rural,3,Together,Secondary,Secondary,Service,Service,Reputation,Father,26,2,0,Yes,Yes,No,No,Yes,No,Yes,No,Bad,,3,Very High,None,Neutral,2,,16,15,No
School C,Female,15,Urban,6,Apart,None,Primary,Education,Business,Other,Father,2,1,0,No,No,No,Yes,Yes,Yes,Yes,No,Bad,1,5,Low,Low,Excellent,2,15,17,14,No
School D,Female,,Urban,8,Apart,Primary,None,Technology,Service,Home,Father,6,2,0,No,Yes,No,No,Yes,Yes,No,Yes,Bad,1,1,High,Very High,Very Bad,6,14,10,,No
School B,Female,18,Rural,1,Apart,None,Primary,Healthcare,Business,Reputation,Mother,53,10,0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Good,4,4,Very High,Low,Excellent,0,7,18,,No
School D,Female,16,Rural,2,Apart,Primary,Primary,Healthcare,Unemployed,Other,Father,16,8,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Neutral,4,2,Low,Medium,Excellent,1,13,14,15,No
School D,Female,17,Rural,4,Together,Higher,None,Business,Education,Reputation,Father,3,4,0,No,No,No,Yes,No,No,Yes,No,Excellent,5,5,Low,Low,Excellent,2,16,18,16,No
School C,Male,14,Suburban,,Apart,Secondary,Higher,Healthcare,Technology,Other,Father,14,0,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bad,1,2,Low,None,Excellent,6,7,12,10,No
School B,Female,17,Urban,4,Together,None,Secondary,Business,Unemployed,Home,Father,0,11,0,No,No,Yes,Yes,Yes,No,No,No,Neutral,3,2,Medium,None,Good,0,16,11,14,No
School A,Female,,Urban,4,Apart,Higher,Primary,Business,Technology,Course,Father,10,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,5,5,None,Medium,Neutral,11,17,17,15,No
School B,Male,17,Urban,6,Together,Primary,Primary,Healthcare,Service,Home,Mother,2,5,1,No,No,No,Yes,Yes,No,Yes,No,Very Bad,4,1,High,Low,Bad,0,16,11,13,No
School C,Female,16,Urban,7,Together,Primary,Higher,Service,Business,Other,Mother,27,4,1,Yes,Yes,No,No,Yes,No,Yes,No,Bad,5,4,Medium,Medium,Excellent,0,14,18,16,No
School A,Other,16,Rural,1,Apart,Primary,Higher,Healthcare,Business,Course,Mother,1,2,0,Yes,No,No,Yes,No,No,Yes,Yes,Very Bad,4,1,Very High,Medium,Good,0,19,12,17,No
School C,Male,16,Suburban,7,Together,Secondary,None,Education,Education,Home,Mother,31,7,0,No,No,No,Yes,No,No,No,No,Neutral,3,5,Low,Low,Good,3,13,12,14,No
School A,Other,16,Urban,8,Apart,Secondary,Higher,Healthcare,Education,Other,Father,57,3,0,Yes,No,No,No,Yes,Yes,No,No,Good,2,2,High,High,Very Bad,1,16,17,19,Yes
School C,Female,17,Urban,,Apart,None,Primary,Education,Technology,Reputation,Other,4,0,0,Yes,No,Yes,No,Yes,Yes,No,No,Very Bad,1,5,None,Medium,Very Bad,1,18,18,11,No
School C,Other,14,Suburban,7,Apart,Secondary,Primary,Unemployed,Healthcare,Course,Other,26,1,0,Yes,No,Yes,No,No,No,Yes,No,Excellent,5,5,Low,None,Very Bad,0,16,13,16,No
School B,Male,15,Suburban,8,Together,Secondary,Primary,Unemployed,Healthcare,Home,Father,43,4,0,No,Yes,No,Yes,Yes,No,Yes,Yes,Bad,5,4,None,Medium,Very Bad,4,17,13,13,Yes
School C,Male,14,Rural,2,Apart,Secondary,None,Technology,Unemployed,Reputation,Father,3,1,1,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,2,4,None,Medium,Excellent,2,11,18,16,No
School D,Other,16,Urban,7,Together,Secondary,Higher,Technology,Service,Reputation,Other,19,3,0,Yes,Yes,No,No,No,Yes,Yes,No,Good,3,4,None,Medium,Excellent,0,17,7,8,No
School C,Other,,Rural,7,Apart,Secondary,Primary,Unemployed,Business,Course,Other,2,1,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Good,1,4,Very High,None,Very Bad,4,13,10,16,Yes
School C,Male,14,Suburban,1,Together,Primary,Primary,Education,Service,Reputation,Other,9,1,0,No,No,Yes,Yes,No,No,Yes,Yes,Excellent,1,1,None,High,Neutral,4,18,17,19,No
School A,Other,15,Urban,2,Together,Secondary,Higher,Technology,Business,Home,Other,6,5,0,Yes,No,No,Yes,No,Yes,Yes,No,Good,5,1,None,Low,Good,4,,12,10,No
School A,Other,13,Suburban,2,Apart,Higher,Secondary,Unemployed,Education,Course,Mother,12,5,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Good,4,4,Medium,Low,Neutral,0,16,18,16,No
School D,Female,18,Suburban,7,Apart,None,None,Technology,Service,Reputation,Other,12,9,0,No,Yes,Yes,Yes,Yes,No,Yes,No,Very Bad,4,4,None,Very High,Bad,0,15,17,15,No
School B,Female,16,Rural,6,Together,None,Secondary,Unemployed,Technology,Course,Other,5,5,0,Yes,No,Yes,No,No,Yes,Yes,No,Very Bad,3,2,Very High,Medium,Neutral,0,12,15,17,No
School D,Other,15,Urban,4,Apart,Secondary,Primary,Technology,Healthcare,Reputation,Father,11,4,1,No,Yes,Yes,No,Yes,Yes,Yes,No,Very Bad,3,1,Low,Medium,Good,0,11,5,11,No
School D,Other,15,Urban,6,Together,None,Primary,Unemployed,Service,Other,Father,3,2,1,Yes,Yes,No,No,No,Yes,No,Yes,Excellent,5,5,None,High,Excellent,1,,12,,No
School C,Male,18,Suburban,4,Apart,Primary,None,Service,Service,Course,Father,14,2,0,No,No,Yes,Yes,No,No,No,No,Bad,2,3,Very High,Medium,Good,0,17,17,18,No
School C,Female,17,Urban,6,Apart,Secondary,None,Education,Healthcare,Course,Other,34,1,0,No,No,No,No,Yes,No,No,No,Very Bad,,5,Very High,High,Excellent,3,12,17,15,No
School B,Female,14,Rural,8,Together,Higher,None,Unemployed,Service,Other,Other,0,2,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Bad,1,5,Medium,None,Neutral,0,6,16,15,No
School D,Female,,Rural,6,Apart,Primary,Secondary,Unemployed,Healthcare,Other,Father,30,2,2,No,Yes,No,No,No,Yes,Yes,Yes,Bad,2,3,High,Medium,Good,3,16,,13,Yes
School B,Male,15,Rural,3,Apart,None,Secondary,Healthcare,Service,Reputation,Mother,9,2,0,Yes,Yes,No,No,Yes,Yes,Yes,No,Very Bad,4,5,Very High,None,Very Bad,1,19,10,17,No
School A,Other,16,Suburban,1,Together,Primary,Higher,Education,Unemployed,Other,Mother,25,,1,No,Yes,No,No,Yes,No,Yes,No,Bad,5,3,None,High,Bad,5,12,13,15,Yes
School D,Other,14,Suburban,3,Together,Secondary,Secondary,Technology,Business,Course,Other,3,2,1,No,Yes,No,No,Yes,Yes,Yes,Yes,Neutral,2,4,Low,Low,Neutral,4,17,16,16,No
School A,Male,15,Rural,7,Together,None,Secondary,Education,Healthcare,Reputation,Mother,,1,0,No,No,No,No,Yes,No,Yes,Yes,Neutral,4,2,Low,None,Very Bad,6,15,12,18,No
School A,Male,15,Suburban,2,Apart,Secondary,Primary,Healthcare,Healthcare,Home,Mother,14,5,1,Yes,No,No,No,Yes,Yes,Yes,No,Neutral,3,1,None,Medium,Very Bad,2,13,15,18,No
School C,Male,14,Suburban,,Apart,Secondary,Secondary,Service,Service,Other,Mother,7,3,0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Very Bad,3,,None,Low,Bad,0,14,13,14,No
School C,Male,18,Urban,5,Together,Secondary,Higher,Education,Unemployed,Course,Father,27,3,0,Yes,No,Yes,No,No,No,Yes,No,Bad,5,1,Medium,None,Excellent,1,8,15,17,No
School D,Male,13,Suburban,6,Apart,Primary,Secondary,Education,Unemployed,Other,Mother,9,2,0,No,Yes,No,Yes,Yes,No,Yes,No,Neutral,4,4,Low,High,Neutral,0,13,,17,No
School D,Male,17,Rural,1,Apart,Secondary,Secondary,Service,Unemployed,Home,Mother,13,15,0,No,Yes,No,No,Yes,No,Yes,Yes,Excellent,1,4,None,Medium,Very Bad,2,,11,17,Yes
School D,Male,19,Urban,2,Apart,Higher,Higher,Unemployed,Education,Reputation,Other,12,,0,No,No,No,Yes,No,Yes,No,No,Very Bad,4,2,Medium,High,Neutral,2,12,17,16,No
School A,Male,14,Suburban,2,Apart,None,None,Service,Technology,Other,Mother,3,1,0,No,Yes,No,No,Yes,No,No,Yes,Good,2,2,None,None,Bad,4,17,18,18,No
School B,Other,16,Rural,4,Together,Higher,Secondary,Healthcare,Unemployed,Home,Mother,1,4,0,Yes,No,No,Yes,Yes,No,No,No,Neutral,5,1,Low,None,Excellent,4,14,11,16,No
School B,Female,15,Urban,6,Apart,Secondary,Primary,Unemployed,Education,Home,Other,35,3,0,No,No,No,No,Yes,No,Yes,Yes,Good,4,3,Very High,Low,Good,0,11,13,11,No
School A,Male,13,Rural,6,Together,Secondary,None,Business,Education,Course,Mother,8,7,0,Yes,No,No,No,No,Yes,Yes,Yes,Very Bad,2,3,Low,High,Very Bad,0,,14,8,No
School D,Male,15,Suburban,8,Together,Higher,Primary,Unemployed,Service,Reputation,Father,37,2,0,No,Yes,Yes,No,Yes,No,Yes,Yes,Neutral,3,4,Very High,Medium,Bad,0,8,10,16,No
School B,Male,14,Suburban,5,Together,Secondary,Higher,Education,Unemployed,Reputation,Mother,8,1,0,No,No,No,No,Yes,Yes,Yes,Yes,Very Bad,1,4,Very High,Low,Neutral,14,17,11,11,Yes
School C,Male,16,Urban,5,Together,Secondary,Higher,Business,Technology,Home,Other,20,6,1,Yes,Yes,No,Yes,Yes,No,Yes,No,Good,5,2,Very High,Medium,Excellent,2,16,9,15,No
School C,Male,18,Urban,3,Together,Primary,None,Service,Technology,Other,Mother,26,9,0,No,No,No,Yes,Yes,No,No,Yes,Good,4,4,Medium,Low,Bad,0,19,16,14,No
School D,Other,16,Suburban,4,Apart,None,None,Healthcare,Technology,Course,Other,37,2,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Excellent,4,3,Medium,Very High,Very Bad,0,16,13,10,No
School A,Female,15,Suburban,6,Apart,Secondary,Higher,Service,Unemployed,Course,Father,37,,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,2,3,Medium,None,Good,7,17,14,,No
School A,Male,15,Rural,4,Together,Secondary,Higher,Education,Education,Reputation,Father,58,,0,Yes,Yes,Yes,No,No,Yes,No,No,Very Bad,5,3,Medium,Very High,Good,7,16,15,15,No
School D,Other,12,Suburban,,Together,Higher,Secondary,Business,Technology,Course,Other,61,2,0,No,No,No,No,No,No,Yes,Yes,Good,3,2,Medium,Very High,Neutral,8,15,18,17,No
School A,Other,13,Suburban,3,Apart,None,None,Healthcare,Healthcare,Reputation,Father,2,3,0,Yes,No,No,Yes,No,Yes,Yes,Yes,Good,1,4,Medium,High,Excellent,4,15,16,14,No
School D,Other,15,Rural,7,Apart,Primary,Higher,Business,Healthcare,Reputation,Other,,3,0,No,No,No,Yes,No,Yes,Yes,No,Excellent,3,4,Very High,Medium,Bad,0,11,13,16,No
School A,Female,14,Suburban,5,Together,Primary,None,Service,Service,Other,Mother,14,2,0,Yes,No,No,No,Yes,Yes,Yes,No,Very Bad,3,5,Very High,None,Excellent,2,10,13,12,No
School A,Female,17,Rural,7,Apart,Primary,None,Business,Healthcare,Other,Mother,10,2,0,Yes,No,No,Yes,Yes,No,Yes,No,Good,2,5,High,Very High,Neutral,8,12,15,8,No
School B,Male,17,Urban,5,Apart,Primary,None,Education,Education,Course,Father,,2,0,Yes,No,No,No,No,Yes,Yes,No,Neutral,4,2,High,Very High,Good,1,14,12,12,No
School A,Male,,Rural,8,Together,None,Higher,Service,Service,Home,Other,,4,0,Yes,Yes,Yes,No,No,Yes,No,Yes,Good,2,2,Medium,Low,Neutral,0,10,13,,No
School C,Male,16,Suburban,3,Together,Secondary,Primary,Unemployed,Business,Reputation,Other,6,6,0,Yes,Yes,No,Yes,No,Yes,No,No,Bad,4,1,Low,None,Bad,1,13,,8,No
School D,Female,15,Urban,3,Apart,Secondary,Primary,Business,Healthcare,Course,Father,,3,0,Yes,No,No,Yes,No,Yes,No,Yes,Good,5,1,Low,High,Good,9,10,,18,No
School C,Male,16,Suburban,3,Together,Secondary,Primary,Healthcare,Service,Course,Other,31,5,0,Yes,Yes,No,No,No,Yes,No,Yes,Good,,3,Low,None,Very Bad,1,,13,13,No
School A,Female,16,Suburban,5,Apart,Primary,Primary,Healthcare,Technology,Other,Other,11,2,1,Yes,Yes,Yes,Yes,No,No,No,Yes,Very Bad,5,5,Very High,Low,Good,3,6,5,13,Yes
School C,Female,19,Urban,7,Apart,Secondary,Secondary,Education,Unemployed,Other,Mother,1,3,0,No,Yes,Yes,Yes,No,No,No,No,Very Bad,5,1,None,Medium,Neutral,0,17,13,,No
School A,Other,18,Suburban,2,Together,None,None,Service,Technology,Home,Other,4,,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Good,5,,Low,High,Neutral,0,9,14,15,No
School A,Female,20,Urban,1,Apart,None,Higher,Service,Healthcare,Reputation,Father,6,4,0,Yes,No,Yes,No,No,No,Yes,Yes,Bad,3,3,None,High,Good,0,12,16,12,No
School C,Male,14,Rural,8,Apart,None,Secondary,Unemployed,Service,Reputation,Father,56,2,0,No,No,Yes,No,No,No,Yes,No,Very Bad,1,5,Very High,Very High,Very Bad,0,,7,13,No
School A,Female,16,Rural,,Together,Primary,Secondary,Healthcare,Healthcare,Home,Father,42,7,0,No,Yes,Yes,Yes,Yes,No,No,No,Good,5,1,None,Medium,Very Bad,1,16,17,10,No
School A,Other,17,Rural,1,Together,Secondary,Secondary,Education,Healthcare,Other,Mother,6,3,0,No,No,No,Yes,No,Yes,No,No,Bad,4,4,Low,None,Excellent,12,15,10,16,No
School D,Other,13,Urban,2,Together,None,Secondary,Healthcare,Technology,Home,Father,,1,0,No,No,Yes,Yes,Yes,No,Yes,No,Bad,2,5,Very High,High,Good,1,15,18,18,No
School C,Male,14,Rural,2,Together,None,None,Service,Unemployed,Other,Father,13,10,1,Yes,Yes,Yes,No,No,No,No,Yes,Bad,1,1,None,Very High,Neutral,2,19,9,15,No
School A,Male,15,Suburban,4,Together,None,Secondary,Healthcare,Service,Home,Father,81,1,0,Yes,Yes,No,No,Yes,Yes,No,No,Very Bad,4,5,Low,Medium,Bad,1,16,13,13,No
School B,Other,16,Rural,3,Apart,Primary,Primary,Unemployed,Education,Course,Father,15,4,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Good,1,1,High,None,Good,0,19,12,12,No
School B,Female,17,Urban,1,Apart,Secondary,Primary,Service,Technology,Other,Mother,7,2,0,Yes,Yes,No,No,No,Yes,Yes,No,Bad,4,3,Low,Very High,Very Bad,3,13,18,14,No
School D,Female,14,Urban,3,Together,Secondary,None,Healthcare,Healthcare,Other,Other,5,5,0,No,Yes,No,No,No,No,No,Yes,Good,3,,High,High,Excellent,2,15,13,16,No
School C,Female,,Rural,,Together,Primary,Secondary,Technology,Service,Reputation,Father,18,14,0,No,No,Yes,Yes,No,No,Yes,Yes,Good,3,4,High,None,Bad,2,15,13,15,Yes
School D,Female,18,Suburban,8,Together,Primary,Higher,Healthcare,Unemployed,Home,Other,63,8,0,Yes,No,No,Yes,No,No,Yes,No,Excellent,3,2,None,Medium,Excellent,7,16,8,17,No
School C,Female,14,Suburban,8,Apart,Primary,Secondary,Business,Unemployed,Other,Mother,25,5,0,Yes,No,No,Yes,Yes,No,No,Yes,Very Bad,1,3,Low,Low,Very Bad,3,7,,13,No
School D,Other,16,Suburban,6,Together,Primary,Secondary,Unemployed,Healthcare,Home,Father,49,4,0,Yes,No,Yes,No,Yes,No,No,Yes,Good,1,4,High,Medium,Good,5,,16,15,No
School A,Female,13,Suburban,5,Together,Secondary,Primary,Service,Unemployed,Reputation,Other,56,3,0,Yes,No,Yes,No,Yes,Yes,Yes,No,Bad,1,2,High,Low,Very Bad,0,14,16,15,No
School B,Other,20,Suburban,6,Together,None,Secondary,Education,Unemployed,Home,Father,1,2,0,No,No,No,Yes,No,No,Yes,Yes,Excellent,3,2,Medium,Very High,Bad,5,14,13,16,No
School C,Female,15,Urban,3,Apart,Secondary,Secondary,Healthcare,Unemployed,Course,Mother,12,3,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Very Bad,2,5,High,Low,Neutral,5,13,,16,No
School C,Female,16,Urban,4,Apart,None,Secondary,Service,Unemployed,Reputation,Father,109,3,0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Very Bad,1,4,Very High,High,Bad,5,11,18,12,No
School C,Male,16,Urban,4,Apart,Primary,Higher,Business,Service,Home,Father,4,1,0,No,Yes,Yes,Yes,No,No,No,No,Excellent,1,3,Medium,Medium,Very Bad,2,12,13,11,Yes
School D,Male,16,Rural,7,Together,Higher,Primary,Business,Business,Reputation,Father,12,3,1,No,Yes,No,No,Yes,No,Yes,No,Very Bad,1,2,High,High,Neutral,0,11,17,15,Yes
School D,Other,,Suburban,2,Apart,Higher,Secondary,Healthcare,Unemployed,Course,Other,19,3,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Neutral,3,3,Very High,High,Excellent,0,15,9,18,Yes
School B,Female,15,Urban,,Apart,Primary,Primary,Education,Technology,Course,Other,2,0,0,Yes,Yes,No,No,No,Yes,Yes,No,Neutral,4,5,Medium,Low,Good,1,11,8,10,No
School C,Other,15,Suburban,5,Together,Primary,None,Technology,Unemployed,Other,Mother,140,3,1,Yes,No,Yes,No,Yes,Yes,No,No,Bad,1,5,High,Very High,Excellent,0,14,11,17,No
School A,Male,14,Rural,2,Together,Primary,Higher,Healthcare,Education,Reputation,Father,6,2,0,Yes,Yes,No,No,No,Yes,No,No,Excellent,1,1,Very High,None,Neutral,8,9,11,13,No
School C,Female,14,Urban,6,Together,Primary,None,Service,Technology,Course,Father,7,2,0,Yes,No,Yes,No,Yes,No,Yes,No,Very Bad,2,1,None,None,Very Bad,4,14,10,13,No
School A,Other,13,Urban,1,Together,Higher,Higher,Education,Healthcare,Reputation,Father,25,1,0,Yes,Yes,No,No,Yes,Yes,Yes,No,Neutral,4,4,Very High,Low,Neutral,1,18,12,7,No
School A,Male,16,Rural,6,Apart,Secondary,Secondary,Business,Healthcare,Other,Mother,18,15,0,No,Yes,No,No,No,No,Yes,No,Very Bad,4,3,Low,Medium,Very Bad,17,13,12,18,No
School D,Male,16,Urban,4,Apart,Higher,None,Business,Healthcare,Course,Other,52,6,0,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,1,2,Medium,None,Excellent,3,16,14,17,No
School B,Other,16,Rural,4,Apart,Primary,None,Business,Business,Other,Mother,6,7,1,Yes,Yes,No,No,Yes,No,No,Yes,Very Bad,,1,Low,Medium,Very Bad,7,18,14,13,Yes
School C,Female,14,Urban,7,Together,Primary,Higher,Technology,Unemployed,Home,Mother,24,2,1,No,Yes,Yes,No,Yes,Yes,Yes,No,Bad,1,3,Very High,High,Very Bad,9,19,12,18,No
